Year,Player,Player_ID,College,Pick,Round,Team,Career_AV,Games_Played,Note,Career_Yards,Career_TDs,Pro_Bowls,All_Pros,OPOY,Receptions,Receiving_Yards,Receiving_TDs,Rec/Game,Yards/Game,TD/Game,Successful,scaled_rec_pg,scaled_yds_pg,scaled_td_pg,scaled_av,scaled_pb,scaled_ap,Performance_Score
2020,Bryan Edwards,EdwaBr01,South Carolina,81,,LVR,6.0,35.0,Parsed,,,0.0,0.0,False,48.0,779.0,4.0,1.37,22.26,0.11,False,0.137,0.22260000000000002,0.11,0.05,0.0,0.0,12.368000000000002
2020,Devin Duvernay,DuveDe00,Texas,92,,BAL,13.0,72.0,Parsed,,,2.0,1.0,False,105.0,977.0,5.0,1.46,13.57,0.07,True,0.146,0.13570000000000002,0.07,0.10833333333333334,0.4,0.3333333333333333,15.682666666666666
2020,Gabriel Davis,DaviGa01,Central Florida,128,,BUF,29.0,74.0,Parsed,,,0.0,0.0,False,183.0,2969.0,29.0,2.47,40.12,0.39,False,0.24700000000000003,0.4012,0.39,0.24166666666666667,0.0,0.0,28.401
2020,Antonio Gandy-Golden,GandAn00,Liberty,142,,WAS,0.0,10.0,Parsed,,,0.0,0.0,False,1.0,3.0,0.0,0.1,0.3,0.0,False,0.01,0.003,0.0,0.0,0.0,0.0,0.29
2020,Joe Reed,ReedJo03,Virginia,151,,LAC,,,Parsed,,,0.0,0.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Tyler Johnson,JohnTy00,Minnesota,161,,TAM,8.0,49.0,Parsed,,,0.0,0.0,False,76.0,828.0,4.0,1.55,16.9,0.08,False,0.155,0.16899999999999998,0.08,0.06666666666666667,0.0,0.0,10.77
2020,Collin Johnson,JohnCo01,Texas,165,,JAX,3.0,38.0,Parsed,,,0.0,0.0,False,31.0,394.0,2.0,0.82,10.37,0.05,False,0.08199999999999999,0.10369999999999999,0.05,0.025,0.0,0.0,6.1259999999999994
2020,Quintez Cephus,CephQu00,Wisconsin,166,,DET,5.0,22.0,Parsed,,,0.0,0.0,False,37.0,568.0,4.0,1.68,25.82,0.18,False,0.16799999999999998,0.2582,0.18,0.041666666666666664,0.0,0.0,15.331
2020,John Hightower,HighJo00,Boise St.,168,,PHI,1.0,14.0,Parsed,,,0.0,0.0,False,10.0,167.0,0.0,0.71,11.93,0.0,False,0.071,0.1193,0.0,0.008333333333333333,0.0,0.0,5.124
2020,Isaiah Coulter,CoulIs00,Rhode Island,171,,HOU,0.0,4.0,Parsed,,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Darnell Mooney,MoonDa00,Tulane,173,,CHI,33.0,76.0,Parsed,,,0.0,0.0,False,277.0,3585.0,16.0,3.64,47.17,0.21,False,0.364,0.4717,0.21,0.275,0.0,0.0,29.756
2020,K.J. Osborn,OsboKJ00,Miami (FL),176,,MIN,14.0,67.0,Parsed,,,0.0,0.0,False,165.0,1902.0,16.0,2.46,28.39,0.24,False,0.246,0.2839,0.24,0.11666666666666667,0.0,0.0,19.986999999999995
2020,Donovan Peoples-Jones,PeopDo00,Michigan,187,,CLE,19.0,58.0,Parsed,,,0.0,0.0,False,122.0,1895.0,8.0,2.1,32.67,0.14,False,0.21000000000000002,0.3267,0.14,0.15833333333333333,0.0,0.0,19.176000000000002
2020,Quez Watkins,WatkQu00,Southern Miss,200,,PHI,13.0,49.0,Parsed,,,0.0,0.0,False,98.0,1249.0,6.0,2.0,25.49,0.12,False,0.2,0.25489999999999996,0.12,0.10833333333333334,0.0,0.0,15.671999999999997
2020,James Proche,ProcJa00,SMU,201,,BAL,3.0,62.0,Parsed,,,0.0,0.0,False,28.0,299.0,0.0,0.45,4.82,0.0,False,0.045,0.0482,0.0,0.025,0.0,0.0,2.7209999999999996
2020,Isaiah Hodgins,HodgIs00,Oregon St.,207,,BUF,5.0,31.0,Parsed,,,0.0,0.0,False,60.0,634.0,7.0,1.94,20.45,0.23,False,0.194,0.2045,0.23,0.041666666666666664,0.0,0.0,15.24
2020,Dezmon Patmon,PatmDe00,Washington St.,212,,IND,0.0,10.0,Parsed,,,0.0,0.0,False,4.0,45.0,1.0,0.4,4.5,0.1,False,0.04,0.045,0.1,0.0,0.0,0.0,4.15
2020,Freddie Swain,SwaiFr00,Florida,214,,SEA,5.0,37.0,Parsed,,,0.0,0.0,False,42.0,576.0,6.0,1.14,15.57,0.16,False,0.11399999999999999,0.1557,0.16,0.041666666666666664,0.0,0.0,10.776000000000002
2020,Jauan Jennings,JennJa00,Tennessee,217,,SFO,17.0,60.0,Parsed,,,0.0,0.0,False,155.0,1938.0,13.0,2.58,32.3,0.22,False,0.258,0.32299999999999995,0.22,0.14166666666666666,0.0,0.0,21.375
2020,K.J. Hill,HillKJ00,Ohio St.,220,,LAC,1.0,21.0,Parsed,,,0.0,0.0,False,10.0,103.0,0.0,0.48,4.9,0.0,False,0.048,0.049,0.0,0.008333333333333333,0.0,0.0,2.555
2020,Tyrie Cleveland,ClevTy00,Florida,252,,DEN,0.0,23.0,Parsed,,,0.0,0.0,False,8.0,91.0,0.0,0.35,3.96,0.0,False,0.034999999999999996,0.039599999999999996,0.0,0.0,0.0,0.0,1.8879999999999997
2021,Ja'Marr Chase,ChasJa00,LSU,5,,CIN,51.0,62.0,Parsed,,,4.0,1.0,False,395.0,5425.0,46.0,6.37,87.5,0.74,True,0.637,0.875,0.74,0.425,0.8,0.3333333333333333,69.83166666666668
2021,Jaylen Waddle,WaddJa00,Alabama,6,,MIA,36.0,62.0,Parsed,,,0.0,0.0,False,309.0,4129.0,20.0,4.98,66.6,0.32,True,0.49800000000000005,0.6659999999999999,0.32,0.3,0.0,0.0,40.839999999999996
2021,DeVonta Smith,SmitDe07,Alabama,10,,PHI,43.0,63.0,Parsed,,,0.0,0.0,False,308.0,4011.0,27.0,4.89,63.67,0.43,True,0.489,0.6367,0.43,0.35833333333333334,0.0,0.0,42.85600000000001
2021,Kadarius Toney,ToneKa00,Florida,20,,NYG,7.0,35.0,Parsed,,,0.0,0.0,False,82.0,760.0,3.0,2.34,21.71,0.09,False,0.23399999999999999,0.21710000000000002,0.09,0.058333333333333334,0.0,0.0,13.868
2021,Rashod Bateman,BateRa00,Minnesota,27,,BAL,19.0,51.0,Parsed,,,0.0,0.0,False,138.0,1923.0,13.0,2.71,37.71,0.25,False,0.271,0.3771,0.25,0.15833333333333333,0.0,0.0,24.108
2021,Elijah Moore,MoorEl00,Mississippi,34,,NYJ,15.0,61.0,Parsed,,,0.0,0.0,False,200.0,2162.0,9.0,3.28,35.44,0.15,False,0.32799999999999996,0.3544,0.15,0.125,0.0,0.0,22.066999999999997
2021,Rondale Moore,MoorRo02,Purdue,49,,ARI,13.0,39.0,Parsed,,,0.0,0.0,False,135.0,1201.0,3.0,3.46,30.79,0.08,False,0.346,0.3079,0.08,0.10833333333333334,0.0,0.0,19.381999999999998
2021,D'Wayne Eskridge,EskrDW00,Western Michigan,56,,SEA,2.0,30.0,Parsed,,,0.0,0.0,False,20.0,166.0,1.0,0.67,5.53,0.03,False,0.067,0.0553,0.03,0.016666666666666666,0.0,0.0,3.849
2021,Tutu Atwell,AtweTu00,Louisville,57,,LAR,13.0,54.0,Parsed,,,0.0,0.0,False,99.0,1343.0,4.0,1.83,24.87,0.07,False,0.183,0.2487,0.07,0.10833333333333334,0.0,0.0,14.146000000000003
2021,Terrace Marshall Jr.,MarsTe00,LSU,59,,CAR,6.0,43.0,Parsed,,,0.0,0.0,False,67.0,808.0,1.0,1.56,18.79,0.02,False,0.156,0.18789999999999998,0.02,0.05,0.0,0.0,9.907
2021,Josh Palmer,PalmJo00,Tennessee,77,,LAC,20.0,58.0,Parsed,,,0.0,0.0,False,182.0,2287.0,10.0,3.14,39.43,0.17,False,0.314,0.3943,0.17,0.16666666666666666,0.0,0.0,24.009
2021,Dyami Brown,BrowDy00,North Carolina,82,,WAS,6.0,63.0,Parsed,,,0.0,0.0,False,59.0,784.0,4.0,0.94,12.44,0.06,False,0.094,0.1244,0.06,0.05,0.0,0.0,7.561999999999999
2021,Amari Rodgers,RodgAm00,Clemson,85,,GNB,2.0,35.0,Parsed,,,0.0,0.0,False,20.0,249.0,1.0,0.57,7.11,0.03,False,0.056999999999999995,0.0711,0.03,0.016666666666666666,0.0,0.0,4.122999999999999
2021,Nico Collins,CollNi00,Michigan,89,,HOU,26.0,51.0,Parsed,,,1.0,0.0,False,218.0,3230.0,18.0,4.27,63.33,0.35,True,0.42699999999999994,0.6333,0.35,0.21666666666666667,0.2,0.0,39.788999999999994
2021,Anthony Schwartz,SchwAn00,Auburn,91,,CLE,2.0,25.0,Parsed,,,0.0,0.0,False,14.0,186.0,1.0,0.56,7.44,0.04,False,0.05600000000000001,0.07440000000000001,0.04,0.016666666666666666,0.0,0.0,4.402000000000001
2021,Dez Fitzpatrick,FitzDe00,Louisville,109,,TEN,0.0,7.0,Parsed,,,0.0,0.0,False,5.0,49.0,1.0,0.71,7.0,0.14,False,0.071,0.07,0.14,0.0,0.0,0.0,6.32
2021,Amon-Ra St. Brown,StxxAm00,USC,112,,DET,50.0,66.0,Parsed,,,3.0,2.0,False,430.0,4851.0,33.0,6.52,73.5,0.5,True,0.6519999999999999,0.735,0.5,0.4166666666666667,0.6,0.6666666666666666,60.673333333333325
2021,Jaelon Darden,DardJa00,North Texas,129,,TAM,,35.0,Parsed,,,0.0,0.0,False,9.0,75.0,0.0,0.26,2.14,0.0,False,0.026000000000000002,0.021400000000000002,0.0,0.0,0.0,0.0,1.1620000000000001
2021,Tylan Wallace,WallTy00,Oklahoma St.,131,,BAL,3.0,54.0,Parsed,,,0.0,0.0,False,18.0,260.0,1.0,0.33,4.81,0.02,False,0.033,0.0481,0.02,0.025,0.0,0.0,2.878
2021,Jacob Harris,HarrJa03,Central Florida,141,,LAR,0.0,18.0,Parsed,,,0.0,0.0,False,1.0,6.0,0.0,0.06,0.33,0.0,False,0.006,0.0033,0.0,0.0,0.0,0.0,0.219
2021,Ihmir Smith-Marsette,SmitIh00,Iowa,157,,MIN,,33.0,Parsed,,,0.0,0.0,False,14.0,182.0,2.0,0.42,5.52,0.06,False,0.041999999999999996,0.0552,0.06,0.0,0.0,0.0,3.6959999999999993
2021,Simi Fehoko,FehoSi00,Stanford,179,,DAL,1.0,24.0,Parsed,,,0.0,0.0,False,10.0,139.0,1.0,0.42,5.79,0.04,False,0.041999999999999996,0.0579,0.04,0.008333333333333333,0.0,0.0,3.5020000000000002
2021,Cornell Powell,PoweCo00,Clemson,181,,KAN,,,Parsed,,,0.0,0.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Frank Darby,DarbFr00,Arizona St.,187,,ATL,0.0,16.0,Parsed,,,0.0,0.0,False,2.0,29.0,0.0,0.12,1.81,0.0,False,0.012,0.0181,0.0,0.0,0.0,0.0,0.783
2021,Marquez Stevenson,StevMa00,Houston,203,,BUF,,,Parsed,,,0.0,0.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Shi Smith,SmitSh03,South Carolina,204,,CAR,4.0,23.0,Parsed,,,0.0,0.0,False,28.0,400.0,2.0,1.22,17.39,0.09,False,0.122,0.1739,0.09,0.03333333333333333,0.0,0.0,9.957
2021,Racey McMath,McMaRa00,LSU,205,,TEN,0.0,14.0,Parsed,,,0.0,0.0,False,4.0,48.0,0.0,0.29,3.43,0.0,False,0.028999999999999998,0.034300000000000004,0.0,0.0,0.0,0.0,1.609
2021,Jalen Camp,CampJa03,Georgia Tech,209,,JAX,0.0,5.0,Parsed,,,0.0,0.0,False,1.0,7.0,0.0,0.2,1.4,0.0,False,0.02,0.013999999999999999,0.0,0.0,0.0,0.0,0.8199999999999998
2021,Seth Williams,WillSe00,Auburn,219,,DEN,0.0,2.0,Parsed,,,0.0,0.0,False,1.0,34.0,0.0,0.5,17.0,0.0,False,0.05,0.17,0.0,0.0,0.0,0.0,6.1000000000000005
2021,Dazz Newsome,NewsDa00,North Carolina,221,,CHI,0.0,3.0,Parsed,,,0.0,0.0,False,2.0,23.0,0.0,0.67,7.67,0.0,False,0.067,0.0767,0.0,0.0,0.0,0.0,3.641
