Year,Player,College,Pick,Round,Team,Games_Played,Career_AV,Receiving_Yards,Receiving_TDs,Seasons_Played
2016,Malcolm Mitchell,Georgia,112,,NWE,,,,,
2016,Ricardo Louis,Auburn,114,,CLE,,,,,
2016,Pharoh Cooper,South Carolina,117,,LAR,,,,,
2016,Demarcus Robinson,Florida,126,,KAN,,,,,
2016,Tajae Sharpe,Massachusetts,140,,TEN,,,,,
2016,Jordan Payton,UCLA,154,,CLE,,,,,
2016,Trevor Davis,California,163,,GNB,,,,,
2016,Tyreek Hill,West Alabama,165,,KAN,,,,,
2016,Rashard Higgins,Colorado St.,172,,CLE,,,,,
2016,Moritz Boehringer,,180,,MIN,,,,,
2016,Jakeem Grant,Texas Tech,186,,MIA,,,,,
2016,Kolby Listenbee,TCU,192,,BUF,,,,,
2016,Cody Core,Mississippi,199,,CIN,,,,,
2016,Mike Thomas,Southern Miss,206,,LAR,,,,,
2016,Aaron Burbridge,Michigan St.,213,,SFO,,,,,
2016,Devin Lucien,Arizona St.,225,,NWE,,,,,
2016,Demarcus Ayers,Houston,229,,PIT,,,,,
2016,Daniel Braverman,Western Michigan,230,,CHI,,,,,
2016,Devin Fuller,UCLA,238,,ATL,,,,,
2016,Charone Peake,Clemson,241,,NYJ,,,,,
2016,Kenny Lawler,California,243,,SEA,,,,,
2017,Corey Davis,Western Michigan,5,,TEN,,,,,
2017,Mike Williams,Clemson,7,,LAC,,,,,
2017,John Ross,Washington,9,,CIN,,,,,
2017,Zay Jones,East Carolina,37,,BUF,,,,,
2017,Curtis Samuel,Ohio St.,40,,CAR,,,,,
2017,JuJu Smith-Schuster,USC,62,,PIT,,,,,
2017,Cooper Kupp,Eastern Washington,69,,LAR,,,,,
2017,Taywan Taylor,Western Kentucky,72,,TEN,,,,,
2017,ArDarius Stewart,Alabama,79,,NYJ,,,,,
2017,Carlos Henderson,Louisiana Tech,82,,DEN,,,,,
2017,Chris Godwin,Penn St.,84,,TAM,,,,,
2017,Kenny Golladay,Northern Illinois,96,,DET,,,,,
2017,Chad Williams,Grambling St.,98,,ARI,,,,,
2017,Amara Darboh,Michigan,106,,SEA,,,,,
2017,Dede Westbrook,Oklahoma,110,,JAX,,,,,
2017,Josh Reynolds,Texas A&M,117,,LAR,,,,,
2017,Mack Hollins,North Carolina,118,,PHI,,,,,
2017,Josh Malone,Tennessee,128,,CIN,,,,,
2017,Ryan Switzer,North Carolina,133,,DAL,,,,,
2017,Jehu Chesson,Michigan,139,,KAN,,,,,
2017,Chad Hansen,California,141,,NYJ,,,,,
2017,Shelton Gibson,West Virginia,166,,PHI,,,,,
2017,Rodney Adams,South Florida,170,,MIN,,,,,
2017,Isaiah McKenzie,Georgia,172,,DEN,,,,,
2017,DeAngelo Yancey,Purdue,175,,GNB,,,,,
2017,Trent Taylor,Louisiana Tech,177,,SFO,,,,,
2017,Robert Davis,Georgia St.,209,,WAS,,,,,
2017,Stacy Coley,Miami (FL),219,,MIN,,,,,
2017,David Moore,East Central (OK),226,,SEA,,,,,
2017,Isaiah Ford,Virginia Tech,237,,MIA,,,,,
2017,Noah Brown,Ohio St.,239,,DAL,,,,,
2017,Malachi Dupre,LSU,247,,GNB,,,,,
2018,D.J. Moore,Maryland,24,,CAR,,,,,
2018,Calvin Ridley,Alabama,26,,ATL,,,,,
2018,Courtland Sutton,SMU,40,,DEN,,,,,
2018,Dante Pettis,Washington,44,,SFO,,,,,
2018,Christian Kirk,Texas A&M,47,,ARI,,,,,
2018,Anthony Miller,Memphis,51,,CHI,,,,,
2018,James Washington,Oklahoma St.,60,,PIT,,,,,
2018,DJ Chark,LSU,61,,JAX,,,,,
2018,Michael Gallup,Colorado St.,81,,DAL,,,,,
2018,Tre'Quan Smith,Central Florida,91,,NOR,,,,,
2018,Keke Coutee,Texas Tech,103,,HOU,,,,,
2018,Antonio Callaway,Florida,105,,CLE,,,,,
2018,DaeSean Hamilton,Penn St.,113,,DEN,,,,,
2018,Jaleel Scott,New Mexico St.,132,,BAL,,,,,
2018,J'Mon Moore,Missouri,133,,GNB,,,,,
2018,Justin Watson,Pennsylvania,144,,TAM,,,,,
2018,Daurice Fountain,Northern Iowa,159,,IND,,,,,
2018,Jordan Lasley,UCLA,162,,BAL,,,,,
2018,Marquez Valdes-Scantling,South Florida,174,,GNB,,,,,
2018,Damion Ratley,Texas A&M,175,,CLE,,,,,
2018,Deon Cain,Clemson,185,,IND,,,,,
2018,Ray-Ray McCloud,Clemson,187,,BUF,,,,,
2018,Dylan Cantrell,Texas Tech,191,,LAC,,,,,
2018,Russell Gage,LSU,194,,ATL,,,,,
2018,Tremon Smith,Central Arkansas,196,,KAN,,,,,
2018,Equanimeous St. Brown,Notre Dame,207,,GNB,,,,,
2018,Cedrick Wilson Jr.,Boise St.,208,,DAL,,,,,
2018,Braxton Berrios,Miami (FL),210,,NWE,,,,,
2018,Javon Wims,Georgia,224,,CHI,,,,,
2018,Marcell Ateman,Oklahoma St.,228,,OAK,,,,,
2018,Richie James,Middle Tenn. St.,240,,SFO,,,,,
2018,Auden Tate,Florida St.,253,,CIN,,,,,
2018,Austin Proehl,North Carolina,255,,BUF,,,,,
2018,Trey Quinn,SMU,256,,WAS,,,,,
2019,Marquise Brown,Oklahoma,25,,BAL,,,,,
2019,N'Keal Harry,Arizona St.,32,,NWE,,,,,
2019,Deebo Samuel,South Carolina,36,,SFO,,,,,
2019,A.J. Brown,Mississippi,51,,TEN,,,,,
2019,Mecole Hardman,Georgia,56,,KAN,,,,,
2019,JJ Arcega-Whiteside,Stanford,57,,PHI,,,,,
2019,Parris Campbell,Ohio St.,59,,IND,,,,,
2019,Andy Isabella,Massachusetts,62,,ARI,,,,,
2019,D.K. Metcalf,Mississippi,64,,SEA,,,,,
2019,Diontae Johnson,Toledo,66,,PIT,,,,,
2019,Jalen Hurd,Baylor,67,,SFO,,,,,
2019,Terry McLaurin,Ohio St.,76,,WAS,,,,,
2019,Miles Boykin,Notre Dame,93,,BAL,,,,,
2019,Hakeem Butler,Iowa St.,103,,ARI,,,,,
2019,Gary Jennings Jr,West Virginia,120,,SEA,,,,,
2019,Riley Ridley,Georgia,126,,CHI,,,,,
2019,Hunter Renfrow,Clemson,149,,OAK,,,,,
2019,Darius Slayton,Auburn,171,,NYG,,,,,
2019,KeeSean Johnson,Fresno St.,174,,ARI,,,,,
2019,Travis Fulgham,Old Dominion,184,,DET,,,,,
2019,Juwann Winfree,Colorado,187,,DEN,,,,,
2019,Marcus Green,La-Monroe,203,,ATL,,,,,
2019,Kelvin Harmon,North Carolina St.,206,,WAS,,,,,
2019,Scott Miller,Bowling Green,208,,TAM,,,,,
2019,John Ursua,Hawaii,236,,SEA,,,,,
2019,Terry Godwin,Georgia,237,,CAR,,,,,
2019,Dillon Mitchell,Oregon,239,,MIN,,,,,
2019,Olabisi Johnson,Colorado St.,247,,MIN,,,,,
2020,Henry Ruggs III,Alabama,12,,LVR,,,,,
2020,Jerry Jeudy,Alabama,15,,DEN,,,,,
2020,CeeDee Lamb,Oklahoma,17,,DAL,,,,,
2020,Jalen Reagor,TCU,21,,PHI,,,,,
2020,Justin Jefferson,LSU,22,,MIN,,,,,
2020,Brandon Aiyuk,Arizona St.,25,,SFO,,,,,
2020,Tee Higgins,Clemson,33,,CIN,,,,,
2020,Michael Pittman Jr.,USC,34,,IND,,,,,
2020,Laviska Shenault Jr.,Colorado,42,,JAX,,,,,
2020,KJ Hamler,Penn St.,46,,DEN,,,,,
2020,Chase Claypool,Notre Dame,49,,PIT,,,,,
2020,Van Jefferson,Florida,57,,LAR,,,,,
2020,Denzel Mims,Baylor,59,,NYJ,,,,,
2020,Lynn Bowden Jr.,Kentucky,80,,LVR,,,,,
2020,Bryan Edwards,South Carolina,81,,LVR,,,,,
2020,Devin Duvernay,Texas,92,,BAL,,,,,
2020,Gabriel Davis,Central Florida,128,,BUF,,,,,
2020,Antonio Gandy-Golden,Liberty,142,,WAS,,,,,
