Year,Player,Player_ID,College,Pick,Round,Team,Career_AV,Games_Played,Note,Career_Yards,Career_TDs,Pro_Bowls,All_Pros,OPOY,Receptions,Receiving_Yards,Receiving_TDs,Rec/Game,Yards/Game,TD/Game,Successful
2021,Shi Smith,SmitSh03,South Carolina,204,,CAR,4.0,23.0,Parsed,,,0.0,0.0,False,28,400,2,1.22,17.39,0.09,False
2021,Racey McMath,McMaRa00,LSU,205,,TEN,0.0,14.0,Parsed,,,0.0,0.0,False,4,48,0,0.29,3.43,0,False
2021,Jalen Camp,CampJa03,Georgia Tech,209,,JAX,0.0,5.0,Parsed,,,0.0,0.0,False,1,7,0,0.2,1.4,0,False
2021,Seth Williams,WillSe00,Auburn,219,,DEN,0.0,2.0,Parsed,,,0.0,0.0,False,1,34,0,0.5,17.0,0,False
2021,Dazz Newsome,NewsDa00,North Carolina,221,,CHI,0.0,3.0,Parsed,,,0.0,0.0,False,2,23,0,0.67,7.67,0,False
2021,Mike Strachan,StraMi03,Charleston (WV),229,,IND,0.0,23.0,Parsed,,,0.0,0.0,False,6,130,0,0.26,5.65,0,False
2021,Tre Nixon,NixoTr01,Central Florida,242,,NWE,,,Parsed,,,0.0,0.0,False,,,,,,,
2021,Ben Skowronek,SkowBe00,Notre Dame,249,,LAR,7.0,55.0,Parsed,,,0.0,0.0,False,63,644,1,1.15,11.71,0.02,False
2021,Kawaan Baker,BakeKa00,South Alabama,255,,NOR,,,Parsed,,,0.0,0.0,False,,,,,,,
2021,Dax Milne,MilnDa00,BYU,258,,WAS,1.0,28.0,Parsed,,,0.0,0.0,False,15,120,1,0.54,4.29,0.04,False
2022,Drake London,LondDr00,USC,8,,ATL,26.0,50.0,Parsed,,,0.0,0.0,False,241,3042,15,4.82,60.84,0.3,True
2022,Garrett Wilson,WilsGa00,Ohio St.,10,,NYJ,25.0,51.0,Parsed,,,0.0,0.0,False,279,3249,14,5.47,63.71,0.27,True
2022,Chris Olave,OlavCh00,Ohio St.,11,,NOR,21.0,39.0,Parsed,,,0.0,0.0,False,191,2565,10,4.9,65.77,0.26,True
2022,Jameson Williams,WillJa11,Alabama,12,,DET,16.0,33.0,Parsed,,,0.0,0.0,False,83,1396,10,2.52,42.3,0.3,False
2022,Jahan Dotson,DotsJa00,Penn St.,16,,WAS,11.0,46.0,Parsed,,,0.0,0.0,False,103,1257,11,2.24,27.33,0.24,False
2022,Treylon Burks,BurkTr00,Arkansas,18,,TEN,6.0,27.0,Parsed,,,0.0,0.0,False,53,699,1,1.96,25.89,0.04,False
2022,Christian Watson,WatsCh00,North Dakota St.,34,,GNB,17.0,38.0,Parsed,,,0.0,0.0,False,98,1653,14,2.58,43.5,0.37,False
2022,Wan'Dale Robinson,RobiWa01,Kentucky,43,,NYG,11.0,38.0,Parsed,,,0.0,0.0,False,176,1451,5,4.63,38.18,0.13,False
2022,John Metchie,MetcJo00,Alabama,44,,HOU,3.0,29.0,Parsed,,,0.0,0.0,False,40,412,1,1.38,14.21,0.03,False
2022,Tyquan Thornton,ThorTy00,Baylor,50,,NWE,3.0,28.0,Parsed,,,0.0,0.0,False,39,385,2,1.39,13.75,0.07,False
2022,George Pickens,PickGe00,Georgia,52,,PIT,25.0,48.0,Parsed,,,0.0,0.0,False,174,2841,12,3.62,59.19,0.25,False
2022,Alec Pierce,PierAl00,Cincinnati,53,,IND,16.0,49.0,Parsed,,,0.0,0.0,False,110,1931,11,2.24,39.41,0.22,False
2022,Skyy Moore,MoorSk01,Western Michigan,54,,KAN,4.0,36.0,Parsed,,,0.0,0.0,False,43,494,1,1.19,13.72,0.03,False
