Year,Player,Player_ID,College,Pick,Round,Team
2016,Michael Thomas,ThomMi05,Ohio St.,47,,NOR
2016,Tyler Boyd,BoydTy00,Pittsburgh,55,,CIN
2016,Braxton Miller,MillBr03,Ohio St.,85,,HOU
2016,Leonte Carroo,CarrLe00,Rutgers,86,,MIA
2016,Chris Moore,MoorCh00,Cincinnati,107,,BAL
2016,Malcolm Mitchell,MitcMa01,Georgia,112,,NWE
2016,Ricardo Louis,LouiRi00,Auburn,114,,CLE
2016,Pharoh Cooper,CoopPh00,South Carolina,117,,LAR
2016,Demarcus Robinson,RobiDe01,Florida,126,,KAN
2016,Tajae Sharpe,SharTa00,Massachusetts,140,,TEN
2016,Jordan Payton,PaytJo00,UCLA,154,,CLE
2016,Trevor Davis,DaviTr03,California,163,,GNB
2016,Tyreek Hill,HillTy00,West Alabama,165,,KAN
2016,Rashard Higgins,HiggRa00,Colorado St.,172,,CLE
2016,Moritz Boehringer,BoehMo00,,180,,MIN
2016,Jakeem Grant,GranJa00,Texas Tech,186,,MIA
2016,Kolby Listenbee,ListKo00,TCU,192,,BUF
2016,Cody Core,CoreCo00,Mississippi,199,,CIN
2016,Mike Thomas,ThomMi04,Southern Miss,206,,LAR
2016,Aaron Burbridge,BurbAa00,Michigan St.,213,,SFO
2016,Devin Lucien,LuciDe00,Arizona St.,225,,NWE
2016,Demarcus Ayers,AyerDe00,Houston,229,,PIT
2016,Daniel Braverman,BravDa00,Western Michigan,230,,CHI
2016,Devin Fuller,FullDe00,UCLA,238,,ATL
2016,Charone Peake,PeakCh00,Clemson,241,,NYJ
2016,Kenny Lawler,LawlKe00,California,243,,SEA
2017,Corey Davis,DaviCo03,Western Michigan,5,,TEN
2017,Mike Williams,WillMi07,Clemson,7,,LAC
2017,John Ross,RossJo00,Washington,9,,CIN
2017,Zay Jones,JoneZa00,East Carolina,37,,BUF
2017,Curtis Samuel,SamuCu00,Ohio St.,40,,CAR
2017,JuJu Smith-Schuster,SmitJu00,USC,62,,PIT
2017,Cooper Kupp,KuppCo00,Eastern Washington,69,,LAR
2017,Taywan Taylor,TaylTa00,Western Kentucky,72,,TEN
2017,ArDarius Stewart,StewAr00,Alabama,79,,NYJ
2017,Carlos Henderson,HendCa01,Louisiana Tech,82,,DEN
2017,Chris Godwin,GodwCh00,Penn St.,84,,TAM
2017,Kenny Golladay,GollKe00,Northern Illinois,96,,DET
2017,Chad Williams,WillCh05,Grambling St.,98,,ARI
2017,Amara Darboh,DarbAm00,Michigan,106,,SEA
2017,Dede Westbrook,WestDe00,Oklahoma,110,,JAX
2017,Josh Reynolds,ReynJo00,Texas A&M,117,,LAR
2017,Mack Hollins,HollMa00,North Carolina,118,,PHI
2017,Josh Malone,MaloJo00,Tennessee,128,,CIN
2017,Ryan Switzer,SwitRy00,North Carolina,133,,DAL
2017,Jehu Chesson,ChesJe00,Michigan,139,,KAN
2017,Chad Hansen,HansCh00,California,141,,NYJ
2017,Shelton Gibson,GibsSh00,West Virginia,166,,PHI
2017,Rodney Adams,AdamRo01,South Florida,170,,MIN
2017,Isaiah McKenzie,McKeIs00,Georgia,172,,DEN
2017,DeAngelo Yancey,YancDe00,Purdue,175,,GNB
2017,Trent Taylor,TaylTr02,Louisiana Tech,177,,SFO
2017,Robert Davis,DaviRo00,Georgia St.,209,,WAS
2017,Stacy Coley,ColeSt00,Miami (FL),219,,MIN
2017,David Moore,MoorDa03,East Central (OK),226,,SEA
2017,Isaiah Ford,FordIs00,Virginia Tech,237,,MIA
2017,Noah Brown,BrowNo00,Ohio St.,239,,DAL
2017,Malachi Dupre,DuprMa01,LSU,247,,GNB
2018,D.J. Moore,MoorD.00,Maryland,24,,CAR
2018,Calvin Ridley,RidlCa00,Alabama,26,,ATL
2018,Courtland Sutton,SuttCo00,SMU,40,,DEN
2018,Dante Pettis,PettDa00,Washington,44,,SFO
2018,Christian Kirk,KirkCh01,Texas A&M,47,,ARI
2018,Anthony Miller,MillAn02,Memphis,51,,CHI
2018,James Washington,WashJa00,Oklahoma St.,60,,PIT
2018,DJ Chark,CharDJ00,LSU,61,,JAX
2018,Michael Gallup,GallMi00,Colorado St.,81,,DAL
2018,Tre'Quan Smith,SmitTr03,Central Florida,91,,NOR
2018,Keke Coutee,CoutKe00,Texas Tech,103,,HOU
2018,Antonio Callaway,CallAn00,Florida,105,,CLE
2018,DaeSean Hamilton,HamiDa01,Penn St.,113,,DEN
2018,Jaleel Scott,ScotJa02,New Mexico St.,132,,BAL
2018,J'Mon Moore,MoorJM00,Missouri,133,,GNB
2018,Justin Watson,WatsJu01,Pennsylvania,144,,TAM
2018,Daurice Fountain,FounDa00,Northern Iowa,159,,IND
2018,Jordan Lasley,LaslJo00,UCLA,162,,BAL
2018,Marquez Valdes-Scantling,ValdMa00,South Florida,174,,GNB
2018,Damion Ratley,RatlDa00,Texas A&M,175,,CLE
